san_pham_id,ten,mo_ta,gia,anh,con_hang,thuong_hieu
278635796,Điện Thoại Samsung Galaxy A17 8GB/128GB - Hàng Chính Hãng,Điện Thoại Samsung Galaxy A17 8GB/128GB - Hàng Chính Hãng,4689000,https://salt.tikicdn.com/cache/280x280/ts/product/b4/3b/3c/f356bbbe0b4bfb0dd20b86bf09e6f572.jpg,,Samsung
278592403,Điện thoại Samsung Galaxy A07 LTE (4GB/64GB) - Hàng chính hãng,Điện thoại Samsung Galaxy A07 LTE (4GB/64GB) - Hàng chính hãng,3290000,https://salt.tikicdn.com/cache/280x280/ts/product/ea/b5/69/2b23670d231ec16445b23306f8c9e877.jpg,,Samsung
278591094,Điện thoại Samsung Galaxy A07 LTE (4GB/128GB) - Hàng chính hãng,Điện thoại Samsung Galaxy A07 LTE (4GB/128GB) - Hàng chính hãng,3590000,https://salt.tikicdn.com/cache/280x280/ts/product/22/0e/67/135204b4e3d327bd7fb0489515206d84.jpg,,Samsung
278580633,Điện thoại Xiaomi Redmi 15 (8GB/128GB) - Hàng chính hãng,Điện thoại Xiaomi Redmi 15 (8GB/128GB) - Hàng chính hãng,5190000,https://salt.tikicdn.com/cache/280x280/ts/product/1d/ec/4c/c2b9dcc54692211bf89d643baaeeecf0.jpg,,Xiaomi
278500947,Điện Thoại Realme C71 4GB/128GB - Hàng Chính Hãng,Điện Thoại Realme C71 4GB/128GB - Hàng Chính Hãng,3569000,https://salt.tikicdn.com/cache/280x280/ts/product/f3/ed/b6/9351ebb28bddbdd50fdc949592fefd3f.jpg,,Realme
277944378,Điện Thoại Xiaomi Redmi A5 3GB/64GB - Hàng Chính Hãng,Điện Thoại Xiaomi Redmi A5 3GB/64GB - Hàng Chính Hãng,2299000,https://salt.tikicdn.com/cache/280x280/ts/product/a7/10/57/83a9b9157ac078ab812494171f3e8ed2.jpg,,Xiaomi
277811118,Điện Thoại Xiaomi Redmi Note 14 5G 8GB/256GB - Hàng Chính Hãng,Điện Thoại Xiaomi Redmi Note 14 5G 8GB/256GB - Hàng Chính Hãng,5979000,https://salt.tikicdn.com/cache/280x280/ts/product/e8/04/c7/1cb4903ad84f0219e59b3f91ac7c6849.jpg,,Xiaomi
277751466,[MỚI] Điện thoại vivo V50 Lite (12GB/256GB) - Hàng chính hãng - Bảo hành 12 tháng - 1 Đổi 1 trong tháng đầu tiên,[MỚI] Điện thoại vivo V50 Lite (12GB/256GB) - Hàng chính hãng - Bảo hành 12 tháng - 1 Đổi 1 trong tháng đầu tiên,10990000,https://salt.tikicdn.com/cache/280x280/ts/product/45/87/eb/a7daed29f2a778bd141f04d6b1ec46b3.jpg,,Vivo
277737595,Điện Thoại Samsung Galaxy A06 5G 4GB/128GB - Hàng Chính Hãng,Điện Thoại Samsung Galaxy A06 5G 4GB/128GB - Hàng Chính Hãng,2899000,https://salt.tikicdn.com/cache/280x280/ts/product/fb/9f/11/6083fa4dc1a25a2623e33f9bf1b1c38f.jpg,,Samsung
277728993,[MỚI] Điện thoại vivo Y04 (4GB+64GB) - Hàng chính hãng - 1 Đổi 1 trong tháng đầu tiên - Bảo hành 12 tháng,[MỚI] Điện thoại vivo Y04 (4GB+64GB) - Hàng chính hãng - 1 Đổi 1 trong tháng đầu tiên - Bảo hành 12 tháng,2990000,https://salt.tikicdn.com/cache/280x280/ts/product/98/7b/d5/b99c27b6b37537bcbc87cc691cb0c3d7.jpg,,Vivo
277646748,Điện thoại Samsung Galaxy A06 5G (4GB/64GB) - Hàng chính hãng,Điện thoại Samsung Galaxy A06 5G (4GB/64GB) - Hàng chính hãng,3490000,https://salt.tikicdn.com/cache/280x280/ts/product/0c/36/0b/88f7befba91e4d4ef67740f7b3661a67.jpg,,Samsung
277499293,Điện thoại Samsung Galaxy A56 5G (8GB/128GB) - Hàng chính hãng,Điện thoại Samsung Galaxy A56 5G (8GB/128GB) - Hàng chính hãng,9990000,https://salt.tikicdn.com/cache/280x280/ts/product/f0/b5/3a/acded00be6f7204ec6f7ed2bd0a0d0c9.jpg,,Samsung
277175913,Điện Thoại Xiaomi Redmi Note 14 6GB/128GB - Hàng Chính Hãng,Điện Thoại Xiaomi Redmi Note 14 6GB/128GB - Hàng Chính Hãng,4799000,https://salt.tikicdn.com/cache/280x280/ts/product/43/76/dd/fd7ecc94870f560a97962f4e803786db.jpg,,Xiaomi
275386982,Điện Thoại Nokia 220 4G - Hàng Chính Hãng,Điện Thoại Nokia 220 4G - Hàng Chính Hãng,1099000,https://salt.tikicdn.com/cache/280x280/ts/product/c2/86/5c/a027350956eb8d6ea6adc459ab55a6d8.jpg,,Nokia
274375122,Điện thoại Xiaomi Redmi Note 13 Pro 4G (8GB/128GB) - Hàng chính hãng,Điện thoại Xiaomi Redmi Note 13 Pro 4G (8GB/128GB) - Hàng chính hãng,7290000,https://salt.tikicdn.com/cache/280x280/ts/product/4c/fd/70/61e4e0ab85e2394b65ac46ef3631277b.JPG,,Xiaomi
