ten_san_pham,thuong_hieu,gia,anh,link
Xiaomi Redmi 15 8GB/128GB,Xiaomi,4.990.000₫,https://cdn.tgdd.vn/Products/Images/42/341274/xiaomi-redmi-15-vang-titan-thumbnew-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-redmi-15-8gb-128gb
Masstel IZI T6 4G,Unknown,550.000₫,https://cdn.tgdd.vn/Products/Images/42/322877/masstel-izi-t6-green-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/masstel-izi-t6
Xiaomi 15T 5G 12GB/256GB,Xiaomi,11.790.000₫,https://cdn.tgdd.vn/Products/Images/42/344644/xiaomi-15t-12gb-256gb-vang-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-15t-12gb-256gb
vivo Y05 4GB/64GB,vivo,4.290.000₫,https://cdn.tgdd.vn/Products/Images/42/365875/vivo-y05-xanh-den-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/vivo-y05-4gb-64gb
Masstel Fami 50 4G,Unknown,650.000₫,https://cdn.tgdd.vn/Products/Images/42/323546/masstel-fami-50-green-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/masstel-fami-50
Xiaomi Redmi 15C 6GB/128GB,Xiaomi,4.290.000₫,https://cdn.tgdd.vn/Products/Images/42/346265/xiaomi-redmi-15c-6gb-128gb-xanh-la-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-redmi-15c-6gb-128gb
vivo Y31d 6GB/128GB,vivo,7.490.000₫,https://cdn.tgdd.vn/Products/Images/42/360671/vivo-y31d-6gb-128gb-trang-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/vivo-y31d-6gb-128gb
OPPO A5x 4GB/128GB,OPPO,4.120.000₫,https://cdn.tgdd.vn/Products/Images/42/337847/oppo-a5x-4gb-128gb-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-a5x-4gb-128gb
Nokia 220 4G,Nokia,1.000.000₫,https://cdn.tgdd.vn/Products/Images/42/207956/nokia-220-4g-cam-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/nokia-220-4g
Vivo Y11d 4GB/128GB,vivo,5.790.000₫,https://cdn.tgdd.vn/Products/Images/42/365878/vivo-y11d-den-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/vivo-y11d-4gb-128gb
Nokia HMD 105 4G,Nokia,690.000₫,https://cdn.tgdd.vn/Products/Images/42/329676/nokia-hmd-105-4g-pink-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/nokia-hmd-105-4g
Xiaomi Redmi A7 Pro 4GB/64GB,Xiaomi,3.690.000₫,https://cdn.tgdd.vn/Products/Images/42/364793/xiaomi-redmi-a7-pro-xanh-duong-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-redmi-a7-pro
Mobell M239 4G,Unknown,430.000₫,https://cdn.tgdd.vn/Products/Images/42/284122/mobell-m239-thumb-den-600x600.jpg,https://www.thegioididong.com/dtdd/mobell-m239
Samsung Galaxy S25 Ultra 5G 12GB/256GB,Samsung,25.990.000₫,https://cdn.tgdd.vn/Products/Images/42/333347/samsung-galaxy-s25-ultra-blue-thumbai-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-ultra
Xiaomi 15T 5G 12GB/512GB,Xiaomi,12.490.000₫,https://cdn.tgdd.vn/Products/Images/42/344645/xiaomi-15t-12gb-512gb-xam-den-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-15t-12gb-512gb-xam
Mobell M179,Unknown,410.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/42/354325/mobell-m179-red-thumb-638941821177855485-600x600.jpg,https://www.thegioididong.com/dtdd/mobell-m179
Masstel S9 6GB/256GB,Unknown,2.640.000₫,,https://www.thegioididong.com/dtdd/masstel-s9
Xiaomi Poco C71 4GB/64GB,Xiaomi,3.590.000₫,,https://www.thegioididong.com/dtdd/xiaomi-poco-c71-4gb-64gb
Nokia 110 4G Pro,Nokia,820.000₫,,https://www.thegioididong.com/dtdd/nokia-110-4g-pro
Xiaomi Redmi 15 5G 4GB/128GB,Xiaomi,5.190.000₫,https://cdn.tgdd.vn/Products/Images/42/359776/xiaomi-redmi-15-5g-4gb-128gb-xanh-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-redmi-15-5g-4gb-128gb
vivo Y21d 6GB/128GB,vivo,6.090.000₫,https://cdn.tgdd.vn/Products/Images/42/358669/vivo-y21d-purple-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/vivo-y21d-6gb-128gb
HONOR X5c Plus 4GB/64GB,HONOR,3.590.000₫,https://cdn.tgdd.vn/Products/Images/42/358691/honor-x5c-plus-4gb-64gb-den-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/honor-x5c-plus-4gb-64gb
realme Note 70 4GB/64GB,realme,2.890.000₫,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/42/340260/realme-note-70-4gb-64gb-160725-095001-095-600x600.jpg,https://www.thegioididong.com/dtdd/realme-note-70-4gb-64gb
Nubia A36 4GB/64GB,Unknown,2.790.000₫,,https://www.thegioididong.com/dtdd/nubia-a36-4gb-64gb?utm_flashsale=1
vivo Y04 4GB/64GB,vivo,2.840.000₫,https://cdn.tgdd.vn/Products/Images/42/335227/vivo-y04-gold-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/vivo-y04-64gb
Vivo V70 5G 8GB/256GB,vivo,17.490.000₫,https://cdn.tgdd.vn/Products/Images/42/363464/vivo-v70-8gb-256gb-vang-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/vivo-v70-8gb-256gb
Xiaomi POCO X7 Pro 5G 12GB/256GB,Xiaomi,9.190.000₫,https://cdn.tgdd.vn/Products/Images/42/363473/xiaomi-poco-x7-pro-12-256gb-den-thumb-1-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-poco-x7-pro-12-256gb?utm_flashsale=1
Tecno Spark 30C 6GB/128GB,TECNO,2.940.000₫,https://cdn.tgdd.vn/Products/Images/42/334970/tecno-spark-30c-white-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/tecno-spark-30c
Xiaomi POCO M8 5G 8GB/256GB,Xiaomi,6.390.000₫,https://cdn.tgdd.vn/Products/Images/42/363468/xiaomi-poco-m8-8gb-256gb-xanh-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-poco-m8-8gb-256gb?utm_flashsale=1
Samsung Galaxy S26+ 5G 12GB/256GB,Samsung,24.490.000₫,https://cdn.tgdd.vn/Products/Images/42/361949/samsung-galaxy-s26-plus-12gb-256gb-xanh-duong-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/samsung-galaxy-s26-plus-12gb-256gb
Xiaomi 15T Pro 5G 12GB/256GB,Xiaomi,16.490.000₫,https://cdn.tgdd.vn/Products/Images/42/344646/xiaomi-15t-pro-12gb-256gb-vang-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/xiaomi-15t-pro-12gb-256gb
OPPO A5 8GB/128GB,OPPO,5.590.000₫,https://cdn.tgdd.vn/Products/Images/42/341378/oppo-a5-8gb-128gb-xanh-thumb-600x600.jpg,https://www.thegioididong.com/dtdd/oppo-a5-8gb-128gb?utm_flashsale=1
Mobell M331 4G,Unknown,540.000₫,https://cdn.tgdd.vn/Products/Images/42/314697/mobell-m331-thumb-xanh-1-600x600.jpg,https://www.thegioididong.com/dtdd/mobell-m331
